DM_EVENT.date_ops_start,DM_ACTIVITY.activity_code,DM_ACTIVITY.activity_memo,LOSS_CIRCULATION
09/01/2014,C2,"drop top plug. cmt unit displace with 20 bbls & rig displace with 383.5 bbls of 1.43 sg sbm. bump plug. cip 10:00 hrs. p/t csg 4000 psi/10 min, ok. bleed off pressure, no back flow.  note: - no loss while cementing.          - 63 bbl contaminated &  30 bbl pure spacer return to surface.           - estimate toc from volumetric calculation 1903 m (505 m above 9-5/8"" shoe)",0.0
09/01/2014,C2,"drop bottom plug. mix and pump 28 m3 of 1.90 sg single slurry with 477 lpm (used 9.1""hole size for calculation). loss 6.2 m3 while pumping cement.",6.2
09/01/2014,C2,"drop top plug. cement unit displace cement with 1.59 m3 of 1.78 sg sdf. rig cont to displace with 57.32 m3 of 1.78 sg sdf (159 - 477 lpm). suddenly lost return after dispacing 41.43 m3. swith to cement unit, pump 1.59m3 of sw. bump plug & pressure test casing to 4700 psi/10 min. (actual/calc diff press 995/230 psi). cip at 06:40 hrs. no ballooning effect. bleed off pressure - float holding. bleed off volume 1 m3. total losses 15.26 m3 m3.",0.0
09/01/2014,C2,"rig pump 1.59 m3 of base oil ahead and 1.78 sg ht-mcs-gs spacer (477 lpm, 300 psi). loss 5 m3 while pumping spacer.",5.0
09/01/2014,F1,"cont drilling 6-1/8"" hole from 3121 m to 3130 mmd/2618.34 mvd w/ 1.40 sg sdf. no losses. bhct 160?c. bg 0.1-0.2% well path: 1.44 m above and 2.29 m left to proposal line drilling parameters : rotate: wob 14-15 klbs, 1000 lpm, spp 3000 psi, 200 rpm, 8-9/9-10 kft-lbs (off/on btm). rotate: 12 m/0.5 hrs. avg rop 6 m/hr. p/u 185 klbs, s/o 140 klbs, r/t 158 klbs. note: - add 1 sacks of g seal hrg and 1 sacks of g seal plus every 1 hrs.  ===00:00 - 06:00 operations=== 00:00 - 06:00 cont drilling 6-1/8"" hole from 3130 m to 3275 mmd/2731 mtvd w/ 1.40 sg sdf. no losses well path: 3.5 m above and 4.36 m left to proposal line",0.0
09/01/2014,P4F,"install circulating head and hose. circulate (660 lpm, 1220 psi) no losses. r/d circulating head.",0.0
09/01/2014,P4F,"r/u cement bonnet. remove bpv. r/u cement head and lines. bj flush line and pressure test line to 5,000 psi- ok. meanwhile change out saver sub to 4 1/2"" if. ****rig released from bk-s9-f to bk-s9-e @ 6:00 hrs on 14th feb 2014. total days on well/afe = 18.45/14.96 days.****  +++offline operation+++ 06:30 - 10:00 hrs. circulate prior to cement job (1000 lpm, 3000 psi). no losses. circ until mw in/out = 1.40 sg. temp out stable at 64?c. 07:15 - 08:15 hrs. start running mud cooler. observe trip tank increase to 30 bbls in 3 mins stop pumping and active pit (pit#7) still cont to gain 133 bbls in 10 mins. suspend operation, investigate and found wrong line up to and from mud cooler pump. rearrange pit for the circulation. 10:00 - 10:30 hrs. rig pump 1.59 m3 of base oil and 36.6 m3 of 1.45 sg ht-mcs-gs spacer (1000 lpm,2500 psi), no losses. 10:30 - 12:30 hrs. line up to cement unit. mix and pump 32.9 m3 of 1.68 sg single slurry, pump rate 715 lpm (used 6.50"" hole size for calc). pure spacer on surface after pumping 31.8 m3 of cement. bj flush cement line 2.3 m3 of sw overboard and displace line with 0.8 m3 of 1.03 sg retarded brine. no losses. 12:30 - 13:45 hrs. drop plug. displace cement with 6.36 m3 of 1.03 sg retarded brine (715 lpm), 9.37 m3 of 0.79 sg base oil (715 lpm reducing to 635 lpm) and 0.64 m4 of 1.03 sg retarded brine (477 lpm). bump plug with 3300 psi/80 lpm and pressure up to 3800 psi (500 psi above final pump pressure). p-test tubing to 4700 psi/10 min. cip at 12:55 hrs. perform inflow test 2000/1000 psi for 10 min. bleed off no back flow, float holding. close annulus valve, leave dhsv and cement head open. note: - pure spacer return to surface 17.48 m3. - estimate toc @ 1415 m (volumetric). planned toc 1417 m.",0.0
09/01/2014,FN1C,"sweep hole with lo-vis/hi-dense pill. circulate hole clean (2000 lpm, 2600 psi). total loss 3.6 m3.",3.6
09/01/2014,FN1C,"circulate bottom up (2000 lpm, 2600 psi). total loss 7.6 m3.",7.6
09/01/2014,G6,"remove radioactive source. l/d slimxtreme. max bhst 175.6?c@3085.1 mtmd (2543 mtvd-msl), 16:20 hrs after eoc. monitor well, no gain/loss. average hole size from one arm caliper = 8.64''",0.0
